state,Grocery,Health,Housing,Transportation,Utility,Region,Region Value
Missouri,94.8,89.9,77.2,90.3,97.7,Midwest,1
Montana,103,95.7,111.4,99.4,91.6,West,5
Nebraska,95.2,97.1,78.4,101.8,85.7,Midwest,1
Nevada,102.1,94.9,110.7,117.2,96.6,West,5
New Hampshire,102.3,120.6,109.8,113.6,130.2,Northeast,2
New Jersey,103.9,96.1,136.8,106.1,107.2,Northeast,2
New Mexico,96.7,99.6,87.5,93.5,93.2,Southwest,4
New York,103,104.5,173.3,106.7,102.5,Northeast,2
North Carolina,99,109.5,92.1,93.5,94.5,Southeast,3
North Dakota,94.6,111.6,84.3,101.4,101.8,Midwest,1
Ohio,100.9,96.5,80.1,97.7,97.2,Midwest,1
Oklahoma,93.8,91.8,68,92.3,98.2,Southwest,4
